"GEO_ID","B01003_001E","B01003_001M","NAME"
"id","Estimate!!Total","Margin of Error!!Total","Geographic Area Name"
"310M100US25420","541758","*****","Harrisburg-Carlisle, PA Metro Area"
"310M100US25460","45104","*****","Harrison, AR Micro Area"
"310M100US25500","122328","*****","Harrisonburg, VA Metro Area"
"310M100US25540","1203823","*****","Hartford-West Hartford-East Hartford, CT Metro Area"
"310M100US25580","37680","*****","Hastings, NE Micro Area"
"310M100US25620","139092","*****","Hattiesburg, MS Metro Area"
"310M100US25660","16007","*****","Havre, MT Micro Area"
"310M100US25700","28039","*****","Hays, KS Micro Area"
"310M100US25720","22176","*****","Heber, UT Micro Area"
"310M100US25740","72809","*****","Helena, MT Micro Area"
"310M100US25760","22412","*****","Helena-West Helena, AR Micro Area"
"310M100US25780","44975","*****","Henderson, NC Micro Area"
"310M100US25820","19054","*****","Hereford, TX Micro Area"
"310M100US25860","362665","*****","Hickory-Lenoir-Morganton, NC Metro Area"
"310M100US25900","180362","*****","Hilo, HI Micro Area"
"310M100US25940","179184","*****","Hilton Head Island-Beaufort, SC Micro Area"
"310M100US25980","76996","*****","Hinesville-Fort Stewart, GA Metro Area"
"310M100US26020","62503","*****","Hobbs, NM Micro Area"
"310M100US26100","261376","*****","Holland-Grand Haven, MI Metro Area"
"310M100US26140","140686","*****","Homosassa Springs, FL Micro Area"
"310M100US26180","936984","*****","Honolulu, HI Metro Area"
"310M100US26220","21706","*****","Hood River, OR Micro Area"
"310M100US26260","31896","*****","Hope, AR Micro Area"
"310M100US26300","95290","*****","Hot Springs, AR Metro Area"
"310M100US26340","38314","*****","Houghton, MI Micro Area"
"310M100US26380","206559","*****","Houma-Bayou Cane-Thibodaux, LA Metro Area"
"310M100US26420","5709313","*****","Houston-Sugar Land-Baytown, TX Metro Area"
"310M100US26460","63241","*****","Hudson, NY Micro Area"
"310M100US26480","49015","*****","Humboldt, TN Micro Area"
"310M100US26500","45830","*****","Huntingdon, PA Micro Area"
"310M100US26540","37321","*****","Huntington, IN Micro Area"
"310M100US26580","287112","*****","Huntington-Ashland, WV-KY-OH Metro Area"
"310M100US26620","401694","*****","Huntsville, AL Metro Area"
"310M100US26660","66353","*****","Huntsville, TX Micro Area"
"310M100US26700","16829","*****","Huron, SD Micro Area"
"310M100US26740","64054","*****","Hutchinson, KS Micro Area"
"310M100US26780","36789","*****","Hutchinson, MN Micro Area"
"310M100US26820","124736","*****","Idaho Falls, ID Metro Area"
"310M100US26860","88745","*****","Indiana, PA Micro Area"
"310M100US26900","1717259","*****","Indianapolis-Carmel, IN Metro Area"
"310M100US26940","30504","*****","Indianola, MS Micro Area"
"310M100US26980","148620","*****","Iowa City, IA Metro Area"
"310M100US27020","31171","*****","Iron Mountain, MI-WI Micro Area"
"310M100US27060","100612","*****","Ithaca, NY Metro Area"
"310M100US27100","161569","*****","Jackson, MI Metro Area"
"310M100US27140","533673","*****","Jackson, MS Metro Area"
"310M100US27180","114171","*****","Jackson, TN Metro Area"
"310M100US27220","30215","*****","Jackson, WY-ID Micro Area"
"310M100US27260","1319195","*****","Jacksonville, FL Metro Area"
"310M100US27300","41129","*****","Jacksonville, IL Micro Area"
"310M100US27340","169207","*****","Jacksonville, NC Metro Area"
"310M100US27380","50035","*****","Jacksonville, TX Micro Area"
"310M100US27420","20984","*****","Jamestown, ND Micro Area"
"310M100US27460","135263","*****","Jamestown-Dunkirk-Fredonia, NY Micro Area"
"310M100US27500","159964","*****","Janesville, WI Metro Area"
"310M100US27540","54764","*****","Jasper, IN Micro Area"
"310M100US27580","16865","*****","Jayuya, PR Micro Area"
"310M100US27620","147772","*****","Jefferson City, MO Metro Area"
"310M100US27660","31500","*****","Jennings, LA Micro Area"
"310M100US27700","29705","*****","Jesup, GA Micro Area"
"310M100US27740","195735","*****","Johnson City, TN Metro Area"
"310M100US27780","144741","*****","Johnstown, PA Metro Area"
"310M100US27860","118032","*****","Jonesboro, AR Metro Area"
"310M100US27900","172590","*****","Joplin, MO Metro Area"
"310M100US27940","30975","*****","Juneau, AK Micro Area"
"310M100US27980","150711","26","Kahului-Wailuku, HI Micro Area"
"310M100US28020","323831","*****","Kalamazoo-Portage, MI Metro Area"
"310M100US28060","89215","*****","Kalispell, MT Micro Area"
"310M100US28100","112100","*****","Kankakee-Bradley, IL Metro Area"
"310M100US28140","1999718","*****","Kansas City, MO-KS Metro Area"
"310M100US28180","65460","*****","Kapaa, HI Micro Area"
"310M100US28260","51989","*****","Kearney, NE Micro Area"
"310M100US28300","77445","*****","Keene, NH Micro Area"
"310M100US28340","47513","*****","Kendallville, IN Micro Area"
"310M100US28380","32140","*****","Kennett, MO Micro Area"
"310M100US28420","238406","*****","Kennewick-Pasco-Richland, WA Metro Area"
"310M100US28500","48826","*****","Kerrville, TX Micro Area"
"310M100US28540","13396","*****","Ketchikan, AK Micro Area"
"310M100US28580","73065","*****","Key West, FL Micro Area"
"310M100US28620","33650","*****","Kill Devil Hills, NC Micro Area"
"310M100US28660","388448","*****","Killeen-Temple-Fort Hood, TX Metro Area"
"310M100US28700","307637","*****","Kingsport-Bristol-Bristol, TN-VA Metro Area"
"310M100US28740","182782","*****","Kingston, NY Metro Area"
"310M100US28780","31852","85","Kingsville, TX Micro Area"
"310M100US28820","59307","*****","Kinston, NC Micro Area"
"310M100US28860","29676","*****","Kirksville, MO Micro Area"
"310M100US28900","66520","*****","Klamath Falls, OR Micro Area"
"310M100US28940","685335","*****","Knoxville, TN Metro Area"
"310M100US28980","13349","*****","Kodiak, AK Micro Area"
"310M100US29020","99458","*****","Kokomo, IN Metro Area"
"310M100US29060","60142","*****","Laconia, NH Micro Area"
"310M100US29100","132045","*****","La Crosse, WI-MN Metro Area"
"310M100US29140","197590","*****","Lafayette, IN Metro Area"
"310M100US29180","267302","*****","Lafayette, LA Metro Area"
"310M100US29220","40623","*****","La Follette, TN Micro Area"
"310M100US29260","25373","*****","La Grande, OR Micro Area"
"310M100US29300","65652","*****","LaGrange, GA Micro Area"
"310M100US29340","196414","*****","Lake Charles, LA Metro Area"
"310M100US29380","66964","*****","Lake City, FL Micro Area"
"310M100US29420","199177","*****","Lake Havasu City-Kingman, AZ Metro Area"
"310M100US29460","590116","*****","Lakeland-Winter Haven, FL Metro Area"
"310M100US29500","13853","*****","Lamesa, TX Micro Area"
"310M100US29540","511250","*****","Lancaster, PA Metro Area"
"310M100US29580","72302","*****","Lancaster, SC Micro Area"
"310M100US29620","463602","*****","Lansing-East Lansing, MI Metro Area"
"310M100US29660","34926","*****","Laramie, WY Micro Area"
"310M100US29700","240346","*****","Laredo, TX Metro Area"
"310M100US29740","201670","*****","Las Cruces, NM Metro Area"
"310M100US29780","29321","*****","Las Vegas, NM Micro Area"
